x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.03829262778,0.1173404306,-0.0002666423388,-0.00179656758,1
0.0402626656,0.04838907719,-0.02120102011,0.01333818305,2
0.0402626656,0.050359115,-0.02683091722,0.01465144567,1
0.0402626656,0.05232915282,0.0003582669015,0.009829066694,1
0.0402626656,0.05429919064,-0.0005163977039,0.006035152357,1
0.0402626656,0.05626922846,-0.0122694755,0.005387495272,1
0.0402626656,0.05823927,-0.03376305848,0.0003798084508,1
0.0402626656,0.06020930782,-0.04951608554,-0.002889373107,1
0.0402626656,0.06217934564,-0.04913987592,-0.002261678921,1
0.0402626656,0.06414938718,-0.04324929416,0.0004479281488,1
0.0402626656,0.066119425,-0.04262440279,0.0005788850831,1
0.0402626656,0.06808946282,-0.04179862514,0.001029632054,1
0.0402626656,0.07005950063,-0.03937123343,-0.001161635155,1
0.0402626656,0.07202953845,-0.04246798158,-0.003212817479,1
0.0402626656,0.07399957627,-0.04584535211,-0.001667334465,1
0.0402626656,0.07596961409,-0.04650210589,0.001295245253,1
0.0402626656,0.07793965936,-0.04825480282,0.0007999065565,1
0.0402626656,0.07990969718,-0.05349643528,0.002178392373,1
0.0402626656,0.08187973499,-0.05458121002,0.008643624373,1
0.0402626656,0.08384977281,-0.05365514383,0.01316455193,1
0.0402626656,0.08581981063,-0.05234604329,0.0137839159,1
0.0402626656,0.08778984845,-0.05019912496,0.0119593339,1
0.0402626656,0.08975988626,-0.05324637145,0.01281293388,1
0.0402626656,0.09172992408,-0.05328414589,0.01342715789,1
0.0402626656,0.0936999619,-0.04772358388,0.01503512915,1
0.0402626656,0.09567000717,-0.04715939611,0.01684245467,1
0.0402626656,0.09764004499,-0.04711550474,0.01312704943,1
0.0402626656,0.09961008281,-0.04162240028,0.006402288098,1
0.0402626656,0.1015801206,-0.03947543725,0.004035269842,1
0.0402626656,0.1035501584,-0.04024101049,0.002168103354,1
0.0402626656,0.1055201963,-0.03838891163,0.0007503599627,1
0.0402626656,0.1074902341,-0.03446952626,0.001552069676,1
0.0402626656,0.1094602719,-0.02792915329,-0.003459084313,1
0.0402626656,0.1114303172,-0.0194894094,-0.009129899554,1
0.0402626656,0.113400355,-0.01378595456,-0.00542630814,1
0.0402626656,0.1153703928,-0.009783150628,-0.003057175083,1
0.0402626656,0.1173404306,-0.008665114641,-0.0002697098535,1
0.04223270342,0.04838907719,-0.01344399247,0.0146027673,2
0.04223270342,0.050359115,-0.007409054786,0.01870239712,1
0.04223270342,0.05232915282,-0.004263370298,0.005168630276,1
0.04223270342,0.05429919064,-0.001705309958,0.00678220531,1
0.04223270342,0.05626922846,-0.01059737895,0.01053294912,1
0.04223270342,0.05823927,-0.02704968676,0.006336905062,1
0.04223270342,0.06020930782,-0.04189870507,0.001799903228,1
0.04223270342,0.06217934564,-0.04397336394,-0.0004610495234,1
0.04223270342,0.06414938718,-0.0416424945,0.001447965042,1
0.04223270342,0.066119425,-0.03821178526,0.002884249203,1
0.04223270342,0.06808946282,-0.03437003866,0.0001841236808,1
0.04223270342,0.07005950063,-0.03384902701,-0.003471523989,1
0.04223270342,0.07202953845,-0.04165133834,-0.00609467458,1
0.04223270342,0.07399957627,-0.04774875939,-0.002763421508,1
0.04223270342,0.07596961409,-0.05110426247,-0.0009274471668,1
0.04223270342,0.07793965936,-0.05048603565,0.0004389343376,1
0.04223270342,0.07990969718,-0.05117602274,0.007898650132,1
0.04223270342,0.08187973499,-0.05383351073,0.01220542565,1
0.04223270342,0.08384977281,-0.05176793411,0.01569075324,1
0.04223270342,0.08581981063,-0.04852364585,0.01684570126,1
0.04223270342,0.08778984845,-0.04712861031,0.01340627763,1
